fec_company,list_id
HealthSouth,f1000_618
Nasdaq,f1000_619
Avaya,f1000_620
CF Industries Holdings,f1000_621
Carlisle,f1000_622
Equinix,f1000_623
LSC Communications,f1000_624
Colfax,f1000_625
Lennox International,f1000_626
Iasis Healthcare,f1000_627
Silgan Holdings,f1000_628
American Eagle Outfitters,f1000_629
Moody's,f1000_630
Calumet Specialty Products Partners,f1000_631
CME Group,f1000_632
KB Home,f1000_633
Vulcan Materials,f1000_634
Platform Specialty Products,f1000_635
Vantiv,f1000_636
Skechers U.S.A.,f1000_637
Zebra Technologies,f1000_638
Hub Group,f1000_639
HSN,f1000_640
Stericycle,f1000_641
National General Holdings,f1000_642
Taylor Morrison Home,f1000_643
Urban Outfitters,f1000_644
Resolute Forest Products,f1000_645
ScanSource,f1000_646
Camping World Holdings,f1000_647
Iron Mountain,f1000_648
Hubbell,f1000_649
Pinnacle West Capital,f1000_650
Church & Dwight,f1000_651
Noble Energy,f1000_652
Albemarle,f1000_653
Cooper-Standard Holdings,f1000_654
KKR,f1000_655
Country Financial,f1000_656
Ventas,f1000_657
Hexion,f1000_658
Analog Devices,f1000_659
Citrix Systems,f1000_660
Green Plains,f1000_661
Pitney Bowes,f1000_662
Scripps Networks Interactive,f1000_663
Darling Ingredients,f1000_664
Wayfair,f1000_665
Tailored Brands,f1000_666
Sabre,f1000_667
Global Payments,f1000_668
Atmos Energy,f1000_669
TEGNA,f1000_670
Diebold Nixdorf,f1000_671
PolyOne,f1000_672
TD Ameritrade Holding,f1000_673
Abercrombie & Fitch,f1000_674
Greif,f1000_675
Alliant Energy,f1000_676
American Water Works,f1000_677
Acuity Brands,f1000_678
Skyworks Solutions,f1000_679
FMC,f1000_680
Amerco,f1000_681
CUNA Mutual Group,f1000_682
Brinker International,f1000_683
Buckeye Partners,f1000_684
Warner Music Group,f1000_685
Universal Forest Products,f1000_686
American National Insurance,f1000_687
Mercury General,f1000_688
Regal Beloit,f1000_689
Varian Medical Systems,f1000_690
Aaron's,f1000_691
Visteon,f1000_692
Carter's,f1000_693
Meritor,f1000_694
Regal Entertainment Group,f1000_695
Mednax,f1000_696
TransDigm Group,f1000_697
Landstar System,f1000_698
Puget Energy,f1000_699
Coca-Cola Bottling,f1000_700
Kar Auction Services,f1000_701
Equifax,f1000_702
Groupon,f1000_703
IAC/InterActiveCorp,f1000_704
Weis Markets,f1000_705
Allegheny Technologies,f1000_706
Pinnacle Foods,f1000_707
Tempur Sealy International,f1000_708
SkyWest,f1000_709
International Flavors & Fragrances,f1000_710
BMC Stock Holdings,f1000_711
Brown-Forman,f1000_712
Alexion Pharmaceuticals,f1000_713
KapStone Paper & Packaging,f1000_714
Time,f1000_715
TriNet Group,f1000_716
Steelcase,f1000_717
EchoStar,f1000_718
Sentry Insurance Group,f1000_719
Monster Beverage,f1000_720
Gannett,f1000_721
Fossil Group,f1000_722
Univision Communications,f1000_723
Meritage Homes,f1000_724
MRC Global,f1000_725
H&R Block,f1000_726
Penn National Gaming,f1000_727
Service Corp. International,f1000_728
Brink's,f1000_729
Old Dominion Freight Line,f1000_730
Triple-S Management,f1000_731
KLA-Tencor,f1000_732
Edwards Lifesciences,f1000_733
Rent-A-Center,f1000_734
Comerica,f1000_735
Paychex,f1000_736
First Solar,f1000_737
Insperity,f1000_738
Scotts Miracle-Gro,f1000_739
B/E Aerospace,f1000_740
Westinghouse Air Brake Technologies,f1000_741
Cooper Tire & Rubber,f1000_742
Cinemark Holdings,f1000_743
Keysight Technologies,f1000_744
Convergys,f1000_745
Cracker Barrel Old Country Store,f1000_746
PriceSmart,f1000_747
Broadridge Financial Solutions,f1000_748
Scientific Games,f1000_749
Genesco,f1000_750
MSC Industrial Direct,f1000_751
Ryerson Holding,f1000_752
Acadia Healthcare,f1000_753
Hologic,f1000_754
Unisys,f1000_755
Worthington Industries,f1000_756
Sanderson Farms,f1000_757
WABCO Holdings,f1000_758
Panera Bread,f1000_759
Metaldyne Performance Group,f1000_760
Medical Mutual of Ohio,f1000_761
AMC Networks,f1000_762
Clean Harbors,f1000_763
Hovnanian Enterprises,f1000_764
TrueBlue,f1000_765
Crane,f1000_766
ServiceMaster Global Holdings,f1000_767
Sinclair Broadcast Group,f1000_768
Mutual of America Life Insurance,f1000_769
BGC Partners,f1000_770
DSW,f1000_771
Intuitive Surgical,f1000_772
ArcBest,f1000_773
PC Connection,f1000_774
A.O. Smith,f1000_775
Greenbrier Cos.,f1000_776
Great Plains Energy,f1000_777
Bon-Ton Stores,f1000_778
Dycom Industries,f1000_779
Timken,f1000_780
Aleris,f1000_781
Legg Mason,f1000_782
Hill-Rom Holdings,f1000_783
Stifel Financial,f1000_784
Verso,f1000_785
Qorvo,f1000_786
Ciena,f1000_787
Tetra Tech,f1000_788
Caleres,f1000_789
Pool,f1000_790
Hyster-Yale Materials Handling,f1000_791
Westar Energy,f1000_792
Public Storage,f1000_793
Plexus,f1000_794
Boston Properties,f1000_795
GNC Holdings,f1000_796
HCP,f1000_797
Penn Mutual Life Insurance,f1000_798
TTM Technologies,f1000_799
Prologis,f1000_800
Twitter,f1000_801
Kemper,f1000_802
Valmont Industries,f1000_803
Crestwood Equity Partners,f1000_804
Applied Industrial Technologies,f1000_805
VCA,f1000_806
Granite Construction,f1000_807
Vornado Realty Trust,f1000_808
Mettler-Toledo International,f1000_809
A. Schulman,f1000_810
Wolverine World Wide,f1000_811
Graham Holdings,f1000_812
Chico's FAS,f1000_813
Domino's Pizza,f1000_814
Zions Bancorp.,f1000_815
Southwest Gas Holdings,f1000_816
Tops Holding,f1000_817
Hawaiian Holdings,f1000_818
Vectren,f1000_819
Gartner,f1000_820
On Assignment,f1000_821
Southwestern Energy,f1000_822
Parexel International,f1000_823
Equity Residential,f1000_824
J.Crew Group,f1000_825
Synopsys,f1000_826
Moog,f1000_827
Cabot,f1000_828
ITT,f1000_829
TRI Pointe Group,f1000_830
Maximus,f1000_831
Illumina,f1000_832
Amica Mutual Insurance,f1000_833
Alere,f1000_834
Toro,f1000_835
Sprague Resources,f1000_836
G-III Apparel Group,f1000_837
Hawaiian Electric Industries,f1000_838
Pinnacle Entertainment,f1000_839
Columbia Sportswear,f1000_840
First Republic Bank,f1000_841
Komatsu Mining,f1000_842
Trimble,f1000_843
Edgewell Personal Care,f1000_844
Belden,f1000_845
DST Systems,f1000_846
WGL Holdings,f1000_847
GGP,f1000_848
Brocade Communications Systems,f1000_849
Akamai Technologies,f1000_850
Nationstar Mortgage Holdings,f1000_851
Annaly Capital Management,f1000_852
Kansas City Southern,f1000_853
Revlon,f1000_854
AptarGroup,f1000_855
MDC Holdings,f1000_856
Vishay Intertechnology,f1000_857
Teradata,f1000_858
Spirit Airlines,f1000_859
EnerSys,f1000_860
Snyder's-Lance,f1000_861
Benchmark Electronics,f1000_862
West,f1000_863
Selective Insurance Group,f1000_864
Party City Holdco,f1000_865
Cheesecake Factory,f1000_866
Lincoln Electric Holdings,f1000_867
Carlyle Group,f1000_868
Enable Midstream Partners,f1000_869
Oceaneering International,f1000_870
Vista Outdoor,f1000_871
Middleby,f1000_872
Herman Miller,f1000_873
PerkinElmer,f1000_874
OGE Energy,f1000_875
PCM,f1000_876
Louisiana-Pacific,f1000_877
MPM Holdings,f1000_878
Knights of Columbus,f1000_879
Apollo Global Management,f1000_880
Donaldson,f1000_881
American Equity Investment Life Holding,f1000_882
Super Micro Computer,f1000_883
Xilinx,f1000_884
Tupperware Brands,f1000_885
Guess,f1000_886
Nu Skin Enterprises,f1000_887
Magellan Midstream Partners,f1000_888
HNI,f1000_889
Maxim Integrated Products,f1000_890
Affiliated Managers Group,f1000_891
Express,f1000_892
Boyd Gaming,f1000_893
